"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric","Quartet","PathDiffernce","RF(0.5)","MatchingSplit","UMAST"
"423","1","423","71","61","61","24237.0000","59.0000","1347.0000","358.6726","640.0000","50.0000","203.1108","346012.0000","390.3076","58.0000","613.0000","48.0000"
"424","1","424","71","61","61","24015.0000","59.0000","1370.0000","395.5224","664.0000","48.0000","208.8301","354199.0000","411.6819","58.0000","635.0000","47.0000"
"425","1","425","71","61","61","24310.0000","59.0000","1338.0000","361.5688","652.0000","50.0000","205.2754","352083.0000","396.3357","58.0000","630.0000","49.0000"
"426","1","426","71","61","61","23857.0000","59.0000","1334.0000","365.5024","644.0000","47.0000","202.5636","348067.0000","397.1599","58.0000","624.0000","47.0000"
"427","1","427","71","61","61","23618.0000","59.0000","1292.0000","379.8947","618.0000","48.0000","206.3638","345918.0000","396.8022","58.0000","585.0000","47.0000"
"428","1","428","71","61","61","24865.0000","59.0000","1366.0000","408.6514","646.0000","50.0000","209.4182","338313.0000","410.2511","58.0000","620.0000","49.0000"
"429","1","429","71","61","61","24462.0000","58.0000","1350.0000","388.0979","618.0000","50.0000","206.8429","344314.0000","404.2400","57.0000","598.0000","48.0000"
"430","1","430","71","61","61","23178.0000","59.0000","1308.0000","368.3422","618.0000","49.0000","201.8812","343553.0000","397.7235","57.0000","592.0000","45.0000"
"431","1","431","71","61","61","23441.0000","59.0000","1318.0000","378.6238","632.0000","50.0000","205.1390","346037.0000","400.4847","58.0000","608.0000","49.0000"
"432","1","432","71","61","61","22562.0000","59.0000","1291.0000","381.9738","616.0000","48.0000","204.2596","339717.0000","394.5149","58.0000","588.0000","47.0000"
"433","1","433","71","61","61","24528.0000","59.0000","1340.0000","376.7041","660.0000","48.0000","209.0167","353944.0000","397.2002","58.0000","635.0000","47.0000"
"434","1","434","71","61","61","24261.0000","59.0000","1364.0000","379.8342","636.0000","50.0000","207.0749","348947.0000","404.6010","58.0000","612.0000","48.0000"
"435","1","435","71","61","61","24891.0000","59.0000","1329.0000","372.1102","636.0000","48.0000","205.2462","351627.0000","395.6994","58.0000","613.0000","48.0000"
"436","1","436","71","61","61","24275.0000","59.0000","1336.0000","371.0768","640.0000","48.0000","206.0777","349594.0000","399.1015","58.0000","613.0000","46.0000"
"437","1","437","71","61","61","22686.0000","59.0000","1305.0000","371.3812","628.0000","47.0000","204.9585","346708.0000","397.8995","58.0000","604.0000","47.0000"
"438","1","438","71","61","61","23860.0000","59.0000","1344.0000","376.0053","622.0000","50.0000","202.5093","336478.0000","401.8756","58.0000","598.0000","46.0000"
"439","1","439","71","61","61","23876.0000","59.0000","1389.0000","417.6266","648.0000","50.0000","209.1315","347007.0000","421.1556","58.0000","633.0000","49.0000"
"440","1","440","71","61","61","24612.0000","59.0000","1313.0000","401.7188","660.0000","50.0000","210.1380","341555.0000","413.4344","58.0000","622.0000","48.0000"
"441","1","441","71","61","61","24560.0000","59.0000","1318.0000","361.0872","640.0000","47.0000","204.2694","351935.0000","392.3289","58.0000","616.0000","47.0000"
"442","1","442","71","61","61","23978.0000","59.0000","1339.0000","374.6278","642.0000","49.0000","206.7027","352916.0000","401.0761","58.0000","616.0000","48.0000"
"443","1","443","71","61","61","23775.0000","59.0000","1336.0000","381.8377","634.0000","49.0000","206.3638","343826.0000","399.9550","58.0000","604.0000","48.0000"
"444","1","444","71","61","61","24423.0000","59.0000","1294.0000","363.0014","642.0000","50.0000","204.0588","346219.0000","395.7044","58.0000","607.0000","47.0000"
"445","1","445","71","61","61","23992.0000","59.0000","1309.0000","371.6019","632.0000","48.0000","205.7620","350085.0000","394.5276","58.0000","608.0000","47.0000"
"446","1","446","71","61","61","24144.0000","59.0000","1326.0000","388.9344","636.0000","49.0000","207.9471","346709.0000","404.1559","58.0000","616.0000","47.0000"
"447","1","447","71","61","61","24395.0000","59.0000","1329.0000","374.7025","652.0000","49.0000","205.7863","355836.0000","404.4651","58.0000","627.0000","48.0000"
"448","1","448","71","61","61","24382.0000","59.0000","1350.0000","393.1921","662.0000","50.0000","208.4178","355152.0000","411.8568","58.0000","645.0000","48.0000"
"449","1","449","71","61","61","23317.0000","59.0000","1319.0000","373.4220","660.0000","50.0000","205.8932","350857.0000","400.7543","58.0000","631.0000","49.0000"
"450","1","450","71","61","61","23676.0000","59.0000","1348.0000","386.5359","628.0000","49.0000","204.8512","347632.0000","406.9644","58.0000","617.0000","48.0000"
"451","1","451","71","61","61","24057.0000","59.0000","1371.0000","392.7518","652.0000","50.0000","208.7151","354207.0000","412.1990","58.0000","636.0000","47.0000"
