"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"965","1","965","71","71","71","35283.0000","68.0000","1863.0000","577.5933","878.0000","58.0000","296.5569"
"966","1","966","71","71","71","37569.0000","69.0000","1839.0000","574.0209","848.0000","58.0000","302.9686"
"967","1","967","71","71","71","37911.0000","69.0000","1882.0000","572.4736","886.0000","60.0000","305.8366"
"968","1","968","71","71","71","36991.0000","69.0000","1892.0000","554.2075","872.0000","58.0000","295.9764"
"969","1","969","71","71","71","37235.0000","69.0000","1796.0000","535.8302","866.0000","58.0000","302.5855"
"970","1","970","71","71","71","39991.0000","68.0000","1919.0000","614.7260","900.0000","59.0000","325.7637"
"971","1","971","71","71","71","36477.0000","69.0000","1762.0000","533.3273","820.0000","58.0000","294.6014"
"972","1","972","71","71","71","37298.0000","69.0000","1859.0000","532.1428","862.0000","60.0000","298.4326"
"973","1","973","71","71","71","38588.0000","69.0000","1867.0000","591.6688","882.0000","57.0000","308.4899"
"974","1","974","71","71","71","39377.0000","69.0000","1883.0000","602.3238","890.0000","59.0000","313.8853"
"975","1","975","71","71","71","38472.0000","69.0000","1899.0000","562.6278","850.0000","59.0000","304.3715"
"976","1","976","71","71","71","37178.0000","69.0000","1868.0000","549.3760","834.0000","57.0000","296.4726"
"977","1","977","71","71","71","38408.0000","69.0000","1914.0000","562.4980","894.0000","59.0000","300.4730"
"978","1","978","71","71","71","38602.0000","69.0000","1863.0000","561.3413","830.0000","60.0000","303.6314"
"979","1","979","71","71","71","38483.0000","69.0000","1862.0000","612.0572","888.0000","61.0000","316.4554"
"980","1","980","71","71","71","38788.0000","69.0000","1867.0000","559.7482","854.0000","57.0000","306.8941"
"981","1","981","71","71","71","38105.0000","69.0000","1879.0000","585.5749","870.0000","60.0000","303.6215"
"982","1","982","71","71","71","38852.0000","69.0000","1912.0000","609.6212","912.0000","60.0000","312.9057"
"983","1","983","71","71","71","39294.0000","69.0000","1908.0000","571.8496","886.0000","58.0000","312.5540"
"984","1","984","71","71","71","38354.0000","69.0000","1842.0000","568.4435","874.0000","59.0000","304.9787"
"985","1","985","71","71","71","38898.0000","69.0000","1884.0000","580.8563","896.0000","59.0000","310.8762"
"986","1","986","71","71","71","38412.0000","69.0000","1857.0000","571.3213","894.0000","59.0000","307.6264"
"987","1","987","71","71","71","37882.0000","69.0000","1857.0000","581.3863","844.0000","58.0000","305.7679"
"988","1","988","71","71","71","38434.0000","69.0000","1837.0000","556.9704","842.0000","59.0000","304.9164"
"989","1","989","71","71","71","37694.0000","69.0000","1874.0000","548.2846","884.0000","59.0000","302.2946"
"990","1","990","71","71","71","36316.0000","69.0000","1854.0000","539.5535","872.0000","59.0000","297.3920"
"991","1","991","71","71","71","37840.0000","68.0000","1867.0000","608.8120","880.0000","58.0000","308.1298"
"992","1","992","71","71","71","39381.0000","69.0000","1825.0000","598.3227","892.0000","60.0000","315.8734"
"993","1","993","71","71","71","37012.0000","69.0000","1775.0000","600.1133","858.0000","59.0000","308.2499"
"994","1","994","71","71","71","37614.0000","69.0000","1921.0000","571.6432","850.0000","56.0000","305.0148"
"995","1","995","71","71","71","37649.0000","69.0000","1915.0000","582.2783","860.0000","59.0000","302.2846"
"996","1","996","71","71","71","38143.0000","68.0000","1841.0000","577.7889","874.0000","60.0000","307.9675"
"997","1","997","71","71","71","39345.0000","69.0000","1893.0000","560.0107","874.0000","59.0000","310.5640"
"998","1","998","71","71","71","38437.0000","69.0000","1895.0000","560.7406","840.0000","58.0000","303.6577"
"999","1","999","71","71","71","37007.0000","69.0000","1919.0000","570.5857","882.0000","59.0000","298.3890"
"1000","1","1000","71","71","71","38461.0000","69.0000","1851.0000","546.0861","856.0000","59.0000","302.9851"
