"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"785","1","785","27","27","27","2038.0000","25.0000","233.0000","94.2974","156.0000","19.0000","52.0769"
"786","1","786","27","27","27","1976.0000","25.0000","227.0000","92.6607","152.0000","19.0000","52.0384"
"787","1","787","27","27","27","1957.0000","25.0000","235.0000","92.4662","150.0000","20.0000","50.7346"
"788","1","788","27","27","27","1746.0000","25.0000","205.0000","84.9235","124.0000","17.0000","48.0208"
"789","1","789","27","27","27","1916.0000","25.0000","229.0000","85.4751","148.0000","19.0000","48.5798"
"790","1","790","27","27","27","1981.0000","25.0000","234.0000","93.3274","154.0000","20.0000","51.7687"
"791","1","791","27","27","27","2006.0000","25.0000","229.0000","88.8032","148.0000","19.0000","50.6952"
"792","1","792","27","27","27","1963.0000","25.0000","231.0000","88.4081","152.0000","19.0000","50.0600"
"793","1","793","27","27","27","1974.0000","25.0000","227.0000","79.7747","146.0000","18.0000","48.2908"
"794","1","794","27","27","27","2065.0000","25.0000","237.0000","87.2697","158.0000","19.0000","51.2055"
"795","1","795","27","27","27","2027.0000","24.0000","229.0000","86.1858","150.0000","18.0000","50.7543"
"796","1","796","27","27","27","1860.0000","25.0000","223.0000","87.6698","136.0000","18.0000","48.8467"
"797","1","797","27","27","27","2030.0000","25.0000","235.0000","92.5635","150.0000","19.0000","50.7740"
"798","1","798","27","27","27","1922.0000","25.0000","224.0000","86.8792","144.0000","19.0000","49.4571"
"799","1","799","27","27","27","1824.0000","25.0000","220.0000","87.5443","140.0000","18.0000","48.8262"
"800","1","800","27","27","27","1958.0000","25.0000","227.0000","93.1128","146.0000","18.0000","50.8527"
"801","1","801","27","27","27","1898.0000","25.0000","220.0000","88.1589","144.0000","18.0000","50.1398"
"802","1","802","27","27","27","2022.0000","25.0000","231.0000","84.9824","154.0000","19.0000","50.1398"
"803","1","803","27","27","27","1953.0000","25.0000","230.0000","93.6376","148.0000","19.0000","50.6162"
"804","1","804","27","27","27","1988.0000","25.0000","231.0000","87.5557","148.0000","20.0000","49.7795"
"805","1","805","27","27","27","1862.0000","25.0000","215.0000","80.5109","138.0000","18.0000","49.0306"
"806","1","806","27","27","27","1975.0000","25.0000","232.0000","83.8332","152.0000","18.0000","49.8397"
