"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"474","1","474","27","27","27","1597.0000","17.0000","190.0000","54.9181","73.0000","12.0000","36.4280"
"475","1","475","27","27","27","1381.0000","17.0000","172.0000","56.0357","77.0000","12.0000","42.0357"
"476","1","476","27","27","27","1273.0000","14.0000","146.0000","50.0999","58.0000","10.0000","33.8526"
"477","1","477","27","27","27","1102.0000","14.0000","138.0000","42.4500","43.0000","10.0000","26.3818"
"478","1","478","27","27","27","778.0000","17.0000","128.0000","39.0896","53.0000","12.0000","28.0000"
"479","1","479","27","27","27","712.0000","14.0000","127.0000","35.2136","45.0000","12.0000","21.0950"
"480","1","480","27","27","27","229.0000","12.0000","65.0000","26.3439","37.0000","10.0000","15.8114"
"481","1","481","27","27","27","886.0000","17.0000","139.0000","51.9230","58.0000","12.0000","29.8998"
"482","1","482","27","27","27","1573.0000","14.0000","173.0000","52.5547","70.0000","10.0000","35.7491"
"483","1","483","27","27","27","1384.0000","17.0000","180.0000","56.3028","76.0000","12.0000","36.4555"
"484","1","484","27","27","27","916.0000","17.0000","127.0000","46.1086","60.0000","12.0000","31.9844"
"485","1","485","27","27","27","1312.0000","15.0000","167.0000","55.4076","70.0000","10.0000","35.9722"
"486","1","486","27","27","27","1717.0000","17.0000","190.0000","60.7947","87.0000","12.0000","42.2729"
"487","1","487","27","27","27","1915.0000","17.0000","199.0000","65.3605","105.0000","12.0000","45.3542"
"488","1","488","27","27","27","610.0000","11.0000","93.0000","38.0526","34.0000","9.0000","20.8567"
"489","1","489","27","27","27","1654.0000","17.0000","190.0000","56.8859","83.0000","12.0000","38.9615"
"490","1","490","27","27","27","1258.0000","17.0000","146.0000","49.9199","61.0000","10.0000","33.3167"
"491","1","491","27","27","27","1123.0000","15.0000","172.0000","46.1303","54.0000","12.0000","27.4591"
"492","1","492","27","27","27","1387.0000","17.0000","169.0000","60.2329","79.0000","12.0000","38.5876"
"493","1","493","27","27","27","1411.0000","16.0000","165.0000","56.3205","74.0000","12.0000","38.1969"
"494","1","494","27","27","27","1294.0000","18.0000","147.0000","53.1037","70.0000","12.0000","36.8511"
"495","1","495","27","27","27","1708.0000","17.0000","190.0000","58.3609","85.0000","12.0000","40.2989"
"496","1","496","27","27","27","1234.0000","16.0000","138.0000","51.8073","58.0000","10.0000","34.7275"
