"No","RefTree","Tree","RefTree_taxa","Tree_taxa","Common_taxa","Triples","RFCluster(0.5)","MatchingPair","NodalSplitted","MatchingCluster","MAST","CopheneticL2Metric"
"155","1","155","27","27","27","1297.0000","13.0000","127.0000","52.9528","57.0000","6.0000","37.3095"
"156","1","156","27","27","27","835.0000","15.0000","100.0000","51.5558","54.0000","6.0000","37.0540"
"157","1","157","27","27","27","166.0000","9.0000","55.0000","21.6333","24.0000","6.0000","12.5698"
"158","1","158","27","27","27","193.0000","12.0000","55.0000","39.4968","33.0000","6.0000","21.6795"
"159","1","159","27","27","27","805.0000","15.0000","100.0000","44.8330","45.0000","6.0000","32.8024"
"160","1","160","27","27","27","841.0000","15.0000","102.0000","52.4214","45.0000","6.0000","35.4824"
"161","1","161","27","27","27","1186.0000","12.0000","127.0000","46.8615","45.0000","6.0000","30.1828"
"162","1","162","27","27","27","748.0000","13.0000","100.0000","38.5227","39.0000","6.0000","27.4955"
"163","1","163","27","27","27","202.0000","13.0000","55.0000","33.5857","36.0000","6.0000","20.6882"
"164","1","164","27","27","27","1315.0000","17.0000","127.0000","63.9218","66.0000","6.0000","42.9069"
"165","1","165","27","27","27","1327.0000","19.0000","127.0000","65.3605","69.0000","6.0000","44.0795"
"166","1","166","27","27","27","841.0000","17.0000","100.0000","54.7175","51.0000","6.0000","38.6394"
"167","1","167","27","27","27","211.0000","15.0000","55.0000","44.1588","42.0000","6.0000","25.0799"
"168","1","168","27","27","27","1258.0000","12.0000","127.0000","48.8672","54.0000","6.0000","33.7935"
"169","1","169","27","27","27","115.0000","9.0000","38.0000","24.4949","24.0000","6.0000","14.9666"
"170","1","170","27","27","27","91.0000","6.0000","29.0000","18.1659","15.0000","4.0000","10.7703"
"171","1","171","27","27","27","817.0000","13.0000","102.0000","43.8178","39.0000","6.0000","29.4788"
"172","1","172","27","27","27","175.0000","9.0000","55.0000","22.4499","24.0000","6.0000","13.6015"
"173","1","173","27","27","27","766.0000","13.0000","100.0000","39.0384","39.0000","6.0000","26.1916"
"174","1","174","27","27","27","178.0000","11.0000","57.0000","31.2730","30.0000","6.0000","18.1384"
"175","1","175","27","27","27","1273.0000","15.0000","127.0000","55.4256","60.0000","6.0000","37.1753"
"176","1","176","27","27","27","1273.0000","15.0000","127.0000","55.0636","60.0000","6.0000","37.1484"
"177","1","177","27","27","27","1288.0000","14.0000","127.0000","51.8459","57.0000","6.0000","36.2353"
"178","1","178","27","27","27","208.0000","12.0000","58.0000","44.3621","33.0000","6.0000","23.7908"
"179","1","179","27","27","27","655.0000","11.0000","100.0000","36.9053","30.0000","6.0000","22.6274"
"180","1","180","27","27","27","1228.0000","15.0000","127.0000","54.0555","54.0000","6.0000","34.8855"
"181","1","181","27","27","27","766.0000","16.0000","100.0000","49.1732","48.0000","6.0000","32.2955"
"182","1","182","27","27","27","706.0000","13.0000","74.0000","43.8862","36.0000","4.0000","29.2746"
"183","1","183","27","27","27","199.0000","10.0000","61.0000","30.1993","27.0000","6.0000","18.3848"
"184","1","184","27","27","27","814.0000","17.0000","100.0000","51.8459","51.0000","6.0000","35.7351"
"185","1","185","27","27","27","1273.0000","15.0000","127.0000","55.0636","60.0000","6.0000","37.1484"
"186","1","186","27","27","27","1186.0000","11.0000","127.0000","46.5618","45.0000","6.0000","30.1496"
"187","1","187","27","27","27","817.0000","12.0000","103.0000","43.6807","39.0000","6.0000","27.4773"
"188","1","188","27","27","27","766.0000","16.0000","100.0000","48.7647","48.0000","6.0000","32.2645"
"189","1","189","27","27","27","721.0000","15.0000","83.0000","44.2945","42.0000","6.0000","29.6816"
"190","1","190","27","27","27","748.0000","12.0000","74.0000","42.3556","33.0000","5.0000","30.2324"
"191","1","191","27","27","27","784.0000","16.0000","100.0000","42.4971","48.0000","6.0000","29.0689"
"192","1","192","27","27","27","22.0000","5.0000","12.0000","13.8564","12.0000","5.0000","6.6332"
"193","1","193","27","27","27","784.0000","16.0000","100.0000","42.4971","48.0000","6.0000","29.0689"
